product_name,ingredients,product_type,price,price_pkr,image_url,product_url,suited_age_groups,suited_genders,suited_skin_types,suited_sensitivity,suited_climates,suited_concerns,suited_severity_levels
Advance Brightening Black Seed Face Wash 100ml,Black Seed Extract: Helps soothe skin and improve tone appearance.; Glycerin: Supports hydration and softness.; Mild Cleansing Agents: Remove dirt and oil effectively.,Face Wash,330.0,Rs.330.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/5907747205857_1_jpg_6d18517f-5c39-4d48-885d-f5709ecca631.jpg?v=1771266192,https://pk.hemaniherbals.com/products/advance-brightening-black-seed-face-wash-100ml,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|oily|combination,yes|no,"hot and humid (e.g., karachi)|dry and hot|cold and dry",acne|dark spots|dullness|hyperpigmentation|redness|sun tan|whiteheads / blackheads,mild|moderate
Natural Rose Water Spray 120ml,Rose Essence: Helps tone and refresh skin.; Purified Water: Provides a light; gentle base.,Face Mist,315.0,Rs.315.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/rosewater.jpg?v=1773378683,https://pk.hemaniherbals.com/products/herbal-rose-water-spray-120ml,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|oily|combination,yes|no,"hot and humid (e.g., karachi)|dry and hot|cold and dry",dullness|open pores|redness,mild
Yogurt Brightening Cream,"Milk Extract: Helps moisturize and soften skin.; Argan Oil: Supports hydration and smoothness.; Prickly Pear Oil: Helps maintain skin suppleness.; Licorice Extract: Supports a brighter, more even tone appearance.",Cream,825.0,Rs.825.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102060274_.2jpg_86b0f4f0-e08c-4111-a3fa-127e37d461c1.jpg?v=1771325496,https://pk.hemaniherbals.com/products/yogurt-brightening-cream,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|combination,yes,"hot and humid (e.g., karachi)|dry and hot|cold and dry",dark spots|dullness|hyperpigmentation|sun tan|wrinkles,mild|moderate
Brightening Cucumber Face Wash 100ml,Cucumber Extract: Known for refreshing benefits,Face Wash,330.0,Rs.330.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/5907747205888_1_jpg_72bf1dcc-ffd9-4983-9e89-930ff4a5cf66.jpg?v=1771266801,https://pk.hemaniherbals.com/products/brightening-cucumber-face-wash-100ml,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|oily|combination,yes|no,"hot and humid (e.g., karachi)|dry and hot|cold and dry",dullness|open pores|redness|sun tan,mild
Brightening Saffron Foaming Face Wash 150ml,Saffron Extract: Helps improve brightness and tone appearance.; Glycerin: Supports hydration.; Foaming Cleansers: Remove dirt and oil gently.,Face Wash,625.0,Rs.625.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102060175_1_jpg_405cd768-c9be-4fed-be07-ad7961ec2508.jpg?v=1771266805,https://pk.hemaniherbals.com/products/brightening-saffron-foaming-face-wash-150ml,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|oily|combination,yes|no,"hot and humid (e.g., karachi)|dry and hot|cold and dry",acne|dark spots|dullness|hyperpigmentation|open pores|sun tan|whiteheads / blackheads,mild|moderate
Acne Fighting Neem Face Wash 100ml,Neem Extract: Helps purify and support clearer-looking skin.; Glycerin: Maintains skin hydration.; Cleansing Base: Removes dirt and oil gently.,Face Wash,330.0,Rs.330.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/5907747205901A_1_jpg_0dce1b74-4510-41ae-bbc2-87d76e2f629c.jpg?v=1781088383,https://pk.hemaniherbals.com/products/acne-fighting-neem-face-wash-100ml,14-18|19-24|25-36|37-45,male|female,normal|oily|combination,yes,"hot and humid (e.g., karachi)|dry and hot|cold and dry",acne|dullness|open pores|whiteheads / blackheads,mild|moderate|severe
Hydra Fresh Expert Foaming Face Wash 150ml,Hyaluronic Acid: Attracts and locks in moisture,Face Wash,625.0,Rs.625.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102814167_1_jpg.jpg?v=1771268079,https://pk.hemaniherbals.com/products/hydra-fresh-expert-foaming-face-wash-150ml,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|oily|combination,yes|no,"hot and humid (e.g., karachi)|dry and hot|cold and dry",acne|dullness|open pores|whiteheads / blackheads,mild|moderate
Oil-Free Sunscreen SPF 50+  with Vitamin C and Hyaluronic Acid 50ml,Vitamin C: Commonly used in skincare formulas.; Hyaluronic Acid: Supports surface hydration.; UV Filters: Provide sun protection coverage.,Sunscreen,1970.0,"Rs.1,970.00",https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102810442_3_jpg_2b1458f3-f2da-4d10-9a70-83e5d8480365.jpg?v=1772005392,https://pk.hemaniherbals.com/products/oil-free-sunscreen-spf-50-with-vitamin-c-and-hyaluronic-acid-50ml,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|oily|combination,no,"hot and humid (e.g., karachi)|dry and hot|cold and dry",acne|dark spots|dullness|hyperpigmentation|open pores|redness|sun tan|whiteheads / blackheads|wrinkles,mild|moderate|severe
Heel Care - Cracked Heel Repair Cream 50g,Moisturizing agents: Support skin softness; Repair; supporting compounds: Help improve surface condition,Cream,235.0,Rs.235.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964000737064_2_jpg.jpg?v=1772099648,https://pk.hemaniherbals.com/products/heel-care-cracked-heel-repair-cream,14-18|19-24|25-36|37-45|45+,male|female,dry,yes,dry and hot|cold and dry,redness,mild|moderate|severe
Deep Clean Expert Foaming Face Wash 150ml,Salicylic Acid: Helps clear pores; Green Tea Extract: Soothes and refreshes,Face Wash,625.0,Rs.625.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102814143_1_jpg.jpg?v=1771267007,https://pk.hemaniherbals.com/products/deep-clean-expert-foaming-face-wash-150ml,14-18|19-24|25-36|37-45,male|female,normal|oily|combination,no,"hot and humid (e.g., karachi)|dry and hot",acne|dullness|open pores|redness|whiteheads / blackheads,mild|moderate
